/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena fulva/Andrena fulva 3.jpg,1070,592,2087,1641,Anthophila,3072,2304
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena fulva/Andrena fulva 2.jpg,917,279,2182,2016,Anthophila,3072,2304
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena fulva/Andrena fulva f 2.jpg,591,232,3453,2495,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena fulva/Andrena fulva 1.jpg,649,265,2307,1914,Anthophila,3072,2304
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena fulva/Andrena fulva f.jpg,1299,149,3211,2659,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicornis/Osmia bicornis 1.jpg,209,274,2721,2009,Anthophila,3072,2304
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicornis/Osmia bicornis, m.jpg",1620,1121,3862,3638,Anthophila,6000,4000
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicornis/Osmia bicornis .jpg,1177,247,3191,2548,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicornis/Osmia bicornis f - 06 V 2023.jpg,1520,1537,2687,2469,Anthophila,5537,3691
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Heriades truncorum/Heriades truncorum 3.jpg,1160,727,3165,1784,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Heriades truncorum/Heriades truncorum.jpg,1624,626,2895,2095,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Heriades truncorum/Heriades truncorum 2.jpg,1076,829,2799,1853,Anthophila,4288,2848
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Eucera caspica/Eucera caspica, f.jpg",1944,1004,3057,1973,Anthophila,4942,3295
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Eucera caspica/Eucera caspica, f 2.jpg",1960,1044,2859,2116,Anthophila,5116,3411
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Eucera caspica/Eucera caspica, f 1.jpg",1321,746,3537,2241,Anthophila,4561,3041
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina, m 2.jpg",1100,411,2390,1804,Anthophila,3551,2367
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina f - 04 VI 2023 c.jpg,2104,1474,3459,2257,Anthophila,6000,4000
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina, m 1.jpg",1215,318,2974,2223,Anthophila,4009,2673
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina f - 04 VI 2023 b.jpg,2301,1577,3494,2283,Anthophila,6000,4000
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina, m.jpg",1103,650,2939,1981,Anthophila,4384,2923
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Ceratina cucurbitina/Ceratina cucurbitina f - 04 VI 2023 .jpg,1568,746,2897,2225,Anthophila,5000,3333
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes, f 4.jpg",1410,772,3350,2851,Anthophila,5387,3588
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes, f 2.jpg",1657,981,3787,2778,Anthophila,5495,3659
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes m.jpg,696,-47,2140,2224,Anthophila,3072,2304
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes, f 1.jpg",2516,1274,3851,2761,Anthophila,6035,4019
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes f 1.jpg,620,405,2325,1900,Anthophila,3072,2304
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes.jpg,970,476,3227,2229,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes f.jpg,551,420,2452,1878,Anthophila,3072,2304
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes, f 3.jpg",2685,255,5052,2463,Anthophila,6035,4019
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Anthophora plumipes/Anthophora plumipes, f.jpg",1792,815,3774,2708,Anthophila,5578,3715
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicolor/Osmia bicolor, f.jpg",2341,999,3606,2930,Anthophila,6035,4019
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Osmia bicolor/Osmia bicolor, f 2.jpg",2610,491,4529,3483,Anthophila,6035,4019
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023d.jpg,1512,1107,2334,2005,Anthophila,5000,3333
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023b.jpg,1285,895,2287,2058,Anthophila,5000,3333
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 05 V 2023e.jpg,1458,829,2437,1788,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023f.jpg,1037,758,2464,1680,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023e.jpg,982,434,2753,1609,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 05 V 2023c.jpg,1113,690,2129,1726,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023g.jpg,895,263,2181,2231,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023c.jpg,1871,878,3526,2280,Anthophila,6000,4000
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023i.jpg,1279,873,2488,2075,Anthophila,5000,3333
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 05 V 2023.jpg,1488,809,3300,2191,Anthophila,4635,3090
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 05 V 2023d.jpg,970,806,1753,1367,Anthophila,3375,2250
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023j.jpg,1318,997,2840,2487,Anthophila,5291,3527
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023.jpg,1512,625,2382,1416,Anthophila,3887,2591
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 07 V 2023h.jpg,572,648,2310,1782,Anthophila,4000,2667
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Lasioglossum punctatissimum/Lasioglossum punctatissimum f - 05 V 2023b.jpg,883,443,2084,1444,Anthophila,3635,2423
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Bombus mendax/Bombus mendax 3.jpg,655,288,3335,2500,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Bombus mendax/Bombus mendax 2.jpg,851,181,3156,2627,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Bombus mendax/Bombus mendax.jpg,852,56,3295,2708,Anthophila,4288,2848
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f 4.jpg",1745,547,4665,3492,Anthophila,6000,4000
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes m.jpg,1372,1433,4549,2796,Anthophila,6000,4000
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f.jpg",2073,910,5075,3286,Anthophila,6036,4020
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes f 4.jpg,1304,310,3771,2434,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes 3.jpg,1317,362,3118,2250,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes 2.jpg,902,345,3396,2187,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes f.jpg,908,305,3349,2354,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes 4.jpg,837,308,2911,1835,Anthophila,3072,2304
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f 3.jpg",861,542,4543,3071,Anthophila,5359,3573
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes f 3.jpg,956,541,3191,2273,Anthophila,4288,2848
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f 5.jpg",1678,702,4835,3023,Anthophila,5514,3676
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f 1.jpg",1266,227,4669,3410,Anthophila,6036,4020
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes f 2.jpg,1044,470,3201,2185,Anthophila,4288,2848
/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes f - 28 IV 2023.jpg,1840,915,3340,2472,Anthophila,5698,3798
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, m.jpg",1686,735,4244,2952,Anthophila,6000,4000
"/workspaces/projet_bees_detection_basile/data_bees_detection/new_justine_post_21_avril/Andrena flavipes/Andrena flavipes, f 6.jpg",1059,666,4588,2826,Anthophila,5549,3699
