Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium septemspinosum/Anthidium_septemspinosum_male.jpeg,Anthidium septemspinosum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium septemspinosum/Anthidium_septemspinosum_female.jpeg,Anthidium septemspinosum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium manicatum/Anthidium_manicatum_male.jpeg,Anthidium manicatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium florentinum/Tracting_-_Dasypoda_hirtipes_female.jpeg,Anthidium florentinum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium florentinum/Anthidium_florentinum_male.jpeg,Anthidium florentinum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium florentinum/Anthidium_florentinum_female.jpeg,Anthidium florentinum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium florentinum/Anthidium_florentinum_acc.jpeg,Anthidium florentinum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium florentinum/Dasypoda_hirtipes_female.jpeg,Anthidium florentinum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium oblongatum/Anthidium_oblongatum_female.jpeg,Anthidium oblongatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium loti/Anthidium_loti_female_-_collecting_vegetal_hair_for_his_nest.jpeg,Anthidium loti
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium loti/Anthophora_sp_female_used.jpeg,Anthidium loti
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Anthidium/Anthidium cingulatum/Anthidium_cingulatum_male.jpeg,Anthidium cingulatum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/DG/Megachilinae/Lithurgus/Lithurgus cornutus/Lithurgus_cornutus_female.jpeg,Lithurgus cornutus
