Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2482.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_1600.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2474.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_05-VI-2021_IMG_7283.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_16-VI-2021_IMG_9901.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_f_Ferrals-les-Corbieres-11_16-VI-2021_IMG_9999.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2490.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2470.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2374.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2481.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2489.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2372.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2479.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_m_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2469.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Dasypoda argentata/Dasypoda-argentata_f_Ferrals-les-Corbieres-11_21-VI-2021_IMG_2371.JPG,Dasypoda argentata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Amegilla/Amegilla-sp_f_Ferrals-les-Corbieres-11_05-VI-2021_IMG_7285.JPG,Amegilla
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Sinsat-09_12-mai-2020_IMG_4786.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Bethmale-09_20-X-2021_IMG_5054.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Bethmale-09_20-X-2021_IMG_5078.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Sinsat-09_12-mai-2020_IMG_4793.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Bethmale-09_20-X-2021_IMG_5048.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Bethmale-09_20-X-2021_IMG_5045.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Lasioglossum majus/Lasioglossum-majus_f_Sinsat-09_12-mai-2020_IMG_4790.JPG,Lasioglossum majus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-ovatula_f_Ferrals-les-Corbieres-11_09-V-2021_IMG_0847.JPG,Andrena ovatula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/HS/Andrena ovatula/Andrena-gr-ovatula_f_Ferrals-les-Corbieres-11_23-IV-2021_IMG_6876.JPG,Andrena ovatula
