Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30072021-P1260932.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30072021-P1260937.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/s0594199_bearbei.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/19062020-P1200422.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/s0175046_bearbei.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/IMG_1124.jpeg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/19062020-P1200417.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/20210725-DSC05396_D-denoise.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/IMG_1153.jpeg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/s0585149_bearbei.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/04072019-P1103628.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/IMG_1147.jpeg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30062019-P1103610.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30072021-P1260933.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/s0934283_bearbei.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/30062019-P1103612.jpg,Melitturga clavicornis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/LMDI/Andrenidae/Melitturga/Melitturga clavicornis/19062020-P1200432.jpg,Melitturga clavicornis
