Paths,Real labels
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena bicolorata/el.gritche/Andrena bicolorata f - 09 IV 2023 .jpg,Andrena bicolorata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus vestalis/Jaco Visser/Bombus vestalis Belgium.jpg,Bombus vestalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Bombus vestalis/Jaco Visser/Bombus vestalis Belgium 2.jpg,Bombus vestalis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Hylaeus signatus/Jaco Visser/Hylaeus signatus_ m.jpg,Hylaeus signatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Hylaeus signatus/Jaco Visser/Hylaeus signatus_ m Belgium-3.jpg,Hylaeus signatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Hylaeus signatus/Jaco Visser/Hylaeus signatus-Belgium.jpg,Hylaeus signatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Hylaeus signatus/Jaco Visser/Hylaeus signatus_ m-2.jpg,Hylaeus signatus
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile willughbiella/Rolf Nagel/Rolf Nagel-AlmyBee-22-5421+5439-Megachile willughbiella.jpg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile willughbiella/Rolf Nagel/Rolf Nagel-AlmyBee-22-4021-Megachile willughbiella.jpg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile willughbiella/Rolf Nagel/Rolf Nagel-AlmyBee-22-4106-Megachile willughbiella.jpg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile willughbiella/Rolf Nagel/Rolf Nagel-AlmyBee-21-5783-Megachile willughbiella.jpg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile willughbiella/Rolf Nagel/Rolf Nagel-AlmyBee-22-4032-Megachile willughbiella.jpg,Megachile willughbiella
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada alboguttata/Jaco Visser/Nomada alboguttata NL.jpg,Nomada alboguttata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada alboguttata/Jaco Visser/Nomada alboguttata NL 2.jpg,Nomada alboguttata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Coelioxys conoidea/Rolf Nagel/Rolf Nagel-AlmyBee-19-5085-Coelioxys conoidea.jpg,Coelioxys conoidea
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Coelioxys conoidea/Rolf Nagel/Rolf Nagel-AlmyBee-19-5766-Coelioxys conoidea.jpg,Coelioxys conoidea
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f 3.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f 2.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f 6.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f 4.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis_ f 5.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile centuncularis/Jaco Visser/Megachile centuncularis.jpg,Megachile centuncularis
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum zonulum/observator/Lasioglossum zonulum f - 03 IV 2022 .jpg,Lasioglossum zonulum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum zonulum/observator/Lasioglossum zonulum f - 03 IV 2022 c .jpg,Lasioglossum zonulum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum zonulum/observator/Lasioglossum zonulum f - 03 IV 2022 b .jpg,Lasioglossum zonulum
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0112-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0110-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0262-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0256-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-1188-Megachile sicula Male.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0129-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Megachile sicula/Rolf Nagel/Rolf Nagel-AlmyBee-20-0118-Megachile sicula.jpg,Megachile sicula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia caerulescens/Jaco Visser/Osmia caerulescens NL.jpg,Osmia caerulescens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia caerulescens/El.gritche/Osmia caerulescens f - 30 III 2023 .jpg,Osmia caerulescens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Osmia caerulescens/El.gritche/Osmia caerulescens m - 02 IV 2023 .jpg,Osmia caerulescens
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena minutula/Jaco Visser/Andrena minutula gr._ m Belgium 3.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena minutula/Jaco Visser/Andrena minutula gr._ m Belgium 2.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena minutula/Jaco Visser/Andrena minutula gr._ m Belgium.jpg,Andrena minutula
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada baccata/Jaco Visser/Nomada baccata.jpg,Nomada baccata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Nomada baccata/Jaco Visser/Nomada baccata 2.jpg,Nomada baccata
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum leucozonium/Jaco Visser/Lasioglossum leucozonium_ m 2.jpg,Lasioglossum leucozonium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum leucozonium/Jaco Visser/Lasioglossum leucozonium_ m.jpg,Lasioglossum leucozonium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum leucozonium/El.gritche/Lasioglossum leucozonium f - 03 IV 2023 c.jpg,Lasioglossum leucozonium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Lasioglossum leucozonium/El.gritche/Lasioglossum leucozonium f - 03 IV 2023.jpg,Lasioglossum leucozonium
/home/basile/Documents/projet_bees_detection_basile/data_bees_detection/whole_dataset_cropped/New_Justine/Andrena bimaculata/El.gritche/Andrena bimaculata f - 16 III 2023 .jpg,Andrena bimaculata
