Specie,Total,Anthophila,New_Justine,DG,HS,LMDI,inat_25_04,iNaturalist,Spipoll
Aglaoapis tridentata,43,9,0,0,0,4,26,4,0
Amegilla,45,0,0,0,1,44,0,0,0
Amegilla albigena,294,20,0,2,0,32,183,57,0
Amegilla garrula,260,0,0,1,0,28,170,61,0
Amegilla magnilabris,1,0,0,1,0,0,0,0,0
Amegilla quadrifasciata,1112,49,0,2,0,22,838,201,0
Amegilla sp,1,0,0,1,0,0,0,0,0
Ammobates,3,0,0,0,0,3,0,0,0
Ammobates punctatus,14,1,0,2,0,0,9,2,0
Ammobatoides scriptus,17,2,0,0,0,9,3,3,0
Andrena,874,0,0,0,45,271,0,0,558
Andrena aeneiventris,1,0,0,1,0,0,0,0,0
Andrena afrensis,9,0,0,0,9,0,0,0,0
Andrena agilissima,446,17,0,3,0,67,272,87,0
Andrena albopunctata,108,12,0,1,31,15,21,6,22
Andrena allosa,2,0,0,2,0,0,0,0,0
Andrena ampla,1,0,0,1,0,0,0,0,0
Andrena angustior,13,1,0,2,0,4,3,3,0
Andrena apicata,37,0,0,3,0,6,23,5,0
Andrena argentata,10,0,0,0,0,0,9,1,0
Andrena asperrima,4,0,0,0,0,4,0,0,0
Andrena assimilis,5,0,0,0,0,0,4,1,0
Andrena barbarea,2,0,0,2,0,0,0,0,0
Andrena barbilabris,111,0,6,12,0,8,64,21,0
Andrena batava,13,0,0,1,0,0,11,1,0
Andrena bicolor,522,22,0,4,0,59,350,87,0
Andrena bicolorata,34,6,1,2,0,25,0,0,0
Andrena bimaculata,64,26,4,5,0,7,18,4,0
Andrena binominata,6,0,0,3,0,0,2,1,0
Andrena bucephala,9,0,0,0,0,0,8,1,0
Andrena carantonica,51,15,14,1,0,10,0,11,0
Andrena chrysosceles,87,6,0,1,0,28,40,12,0
Andrena cineraria,4905,13,1,3,0,55,3208,1625,0
Andrena cinerea,3,0,0,3,0,0,0,0,0
Andrena clarkella,1859,0,6,0,0,21,1396,436,0
Andrena coitana,7,0,0,0,0,0,6,1,0
Andrena colletiformis,44,24,0,4,0,2,3,11,0
Andrena combinata,4,0,0,2,0,2,0,0,0
Andrena confinis,2,0,0,2,0,0,0,0,0
Andrena congruens,2,0,0,2,0,0,0,0,0
Andrena corsubalpina,1,0,0,1,0,0,0,0,0
Andrena curvungula,8,0,0,4,0,0,2,2,0
Andrena decipiens,5,5,0,0,0,0,0,0,0
Andrena denticulata,459,0,0,0,0,0,350,109,0
Andrena distinguenda,1,0,0,1,0,0,0,0,0
Andrena dorsata,182,29,7,5,0,40,66,35,0
Andrena erythrocnemis,1,0,0,1,0,0,0,0,0
Andrena espanola,1,0,0,1,0,0,0,0,0
Andrena fabrella,1,0,0,1,0,0,0,0,0
Andrena falsifica,1,0,0,1,0,0,0,0,0
Andrena farinosa,3,0,0,1,2,0,0,0,0
Andrena ferox,11,7,0,3,0,1,0,0,0
Andrena flavilabris,3,0,0,3,0,0,0,0,0
Andrena flavipes,1500,24,28,3,6,54,1037,348,0
Andrena florea,611,17,0,2,15,31,362,130,54
Andrena florentina,5,0,0,0,5,0,0,0,0
Andrena freygessneri,5,0,0,0,0,0,4,1,0
Andrena fucata,6,0,0,1,0,0,3,2,0
Andrena fulva,5738,17,11,4,0,150,3388,1913,255
Andrena fulvago,29,14,2,2,0,1,7,3,0
Andrena fuscipes,95,1,1,5,0,8,52,28,0
Andrena fuscosa,40,0,0,0,2,0,35,3,0
Andrena gallica,10,9,0,1,0,0,0,0,0
Andrena gr proxima,1,0,0,1,0,0,0,0,0
Andrena granulosa,1,0,0,1,0,0,0,0,0
Andrena gravida,341,14,14,2,0,62,191,58,0
Andrena haemorrhoa,4383,28,0,3,0,52,2983,1317,0
Andrena haemorrohoa,26,0,26,0,0,0,0,0,0
Andrena hattorfiana,1987,11,4,6,17,36,1444,469,0
Andrena hedikae,1,1,0,0,0,0,0,0,0
Andrena helvola,37,1,4,0,0,4,24,4,0
Andrena hesperia,2,0,0,2,0,0,0,0,0
Andrena hispania,1,0,0,0,0,0,0,1,0
Andrena humilis,61,38,3,3,0,9,3,5,0
Andrena labialis,74,22,0,2,0,19,29,2,0
Andrena labiata,189,0,0,4,1,11,120,53,0
Andrena lagopus,164,24,3,4,0,37,82,14,0
Andrena lapponica,25,0,1,1,0,4,14,5,0
Andrena lathyri,9,0,0,0,0,1,5,3,0
Andrena leucolippa,57,53,0,4,0,0,0,0,0
Andrena limata,9,0,0,0,4,0,3,2,0
Andrena limbata,41,0,0,0,19,10,9,3,0
Andrena limbata dusmeti,1,0,0,1,0,0,0,0,0
Andrena livens,1,0,0,1,0,0,0,0,0
Andrena marginata,75,5,0,4,0,9,39,13,5
Andrena minutula,69,25,3,3,0,15,20,3,0
Andrena minutuloides,1,0,0,1,0,0,0,0,0
Andrena mitis,10,0,4,0,0,0,0,6,0
Andrena morio,100,24,0,1,37,16,6,4,12
Andrena nana,1,0,0,1,0,0,0,0,0
Andrena nigriceps,51,0,0,0,0,4,37,10,0
Andrena nigroaenea,831,27,0,3,0,57,561,183,0
Andrena nigroolivacea,16,8,0,3,0,2,3,0,0
Andrena nigrospina,16,3,0,0,0,13,0,0,0
Andrena nitida,1136,29,12,4,0,48,749,294,0
Andrena nitidiuscula,16,16,0,0,0,0,0,0,0
Andrena nitidula,1,0,0,1,0,0,0,0,0
Andrena niveata,1,0,0,1,0,0,0,0,0
Andrena nuptialis,6,0,0,5,0,0,1,0,0
Andrena nycthemera,155,0,0,0,0,9,27,119,0
Andrena ovatula,45,12,0,2,15,3,7,6,0
Andrena pallitarsis,1,0,0,1,0,0,0,0,0
Andrena pandellei,139,72,3,3,3,9,44,5,0
Andrena paucisquama,8,0,0,7,0,0,0,1,0
Andrena pellucens,4,0,0,0,0,4,0,0,0
Andrena pilipes,167,15,0,3,50,12,65,22,0
Andrena polita,2,0,0,2,0,0,0,0,0
Andrena potentillae,6,0,0,2,0,0,4,0,0
Andrena praecox,132,0,0,3,0,10,88,31,0
Andrena propinqua,31,10,6,6,0,9,0,0,0
Andrena proxima,43,0,0,0,0,5,26,12,0
Andrena ranunculi,79,64,5,2,0,6,2,0,0
Andrena rhenana,13,0,0,8,0,5,0,0,0
Andrena rogenhoferi,12,0,0,0,0,0,11,1,0
Andrena rosae,175,0,53,2,3,13,86,18,0
Andrena ruficrus,15,0,0,0,0,0,12,3,0
Andrena rufula,2,0,0,2,0,0,0,0,0
Andrena sardoa,8,0,0,0,0,0,6,2,0
Andrena saxonica,7,0,0,1,0,6,0,0,0
Andrena schencki,16,1,0,0,0,4,9,2,0
Andrena semilaevis,4,0,3,1,0,0,0,0,0
Andrena similis,3,2,0,1,0,0,0,0,0
Andrena simillima,2,0,0,2,0,0,0,0,0
Andrena simontornyella,2,0,0,2,0,0,0,0,0
Andrena solenopalpa,2,0,0,2,0,0,0,0,0
Andrena strohmella,1,1,0,0,0,0,0,0,0
Andrena subopaca,6,6,0,0,0,0,0,0,0
Andrena suerinensis,1,0,0,1,0,0,0,0,0
Andrena symphyti,43,39,0,1,0,3,0,0,0
Andrena synadelpha,24,0,0,1,0,18,5,0,0
Andrena tarsata,10,0,0,2,0,0,8,0,0
Andrena tenuistriata,1,0,0,1,0,0,0,0,0
Andrena thomsonii,6,0,0,6,0,0,0,0,0
Andrena thoracica,376,26,1,6,2,47,242,52,0
